City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,bereda,43.27,-7.54,7.78,93,75,3.6,ES,1584253440
191,nabire,-3.37,135.48,26.08,95,70,0.89,ID,1584253440
192,tilichiki,60.47,166.1,-5.97,94,100,1.53,RU,1584253440
193,flic en flac,-20.27,57.36,28.89,78,40,3.1,MU,1584253440
194,kavieng,-2.57,150.8,29.85,63,99,2.38,PG,1584253440
195,coihaique,-45.58,-72.07,11.0,76,75,1.5,CL,1584253441
196,norman wells,65.28,-126.83,-7.0,92,90,1.0,CA,1584253416
197,hamilton,39.18,-84.53,2.22,92,90,3.6,US,1584253441
198,tulun,54.56,100.58,3.04,93,74,1.19,RU,1584253441
199,cayenne,4.93,-52.33,26.0,78,79,2.6,GF,1584253441
200,bosaso,11.28,49.18,26.0,83,1,5.1,SO,1584253222
201,omboue,-1.57,9.26,24.96,91,89,0.75,GA,1584253442
202,ostrovnoy,68.05,39.51,-11.88,79,65,13.29,RU,1584253442
203,hualmay,-11.1,-77.61,21.8,80,99,1.38,PE,1584253442
204,los angeles,34.05,-118.24,16.0,82,90,1.52,US,1584253345
205,taoudenni,22.68,-3.98,19.29,13,0,2.63,ML,1584253443
206,lavrentiya,65.58,-171.0,-6.53,94,100,5.24,RU,1584253431
207,tura,25.52,90.22,29.54,39,91,4.08,IN,1584253443
208,samarai,-10.62,150.67,30.6,59,17,3.77,PG,1584253443
209,tshikapa,-6.42,20.8,22.19,94,99,0.97,CD,1584253443
210,sangar,63.92,127.47,-19.08,89,100,6.27,RU,1584253444
211,kasongo,-4.45,26.67,21.29,91,100,0.61,CD,1584253444
212,kutahya,39.42,29.98,7.0,70,100,1.0,TR,1584253358
213,kapaa,22.08,-159.32,23.0,69,75,4.6,US,1584253444
214,half moon bay,37.46,-122.43,11.0,81,90,2.6,US,1584253444
215,aksu,41.12,80.26,12.14,14,71,2.09,CN,1584253445
216,saint-francois,46.42,3.91,2.22,92,74,1.57,FR,1584253445
217,gwadar,25.12,62.33,22.89,65,100,3.32,PK,1584253445
